type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place	count
link	post_user_1008279892518211	1008279892518211_1692328800779980	https://www.facebook.com/1008279892518211/posts/1692328800779980	http://kapitalis.com/tunisie/2017/08/30/kasserine-des-citoyens-capturent-un-terroriste/	https://external.xx.fbcdn.net/safe_image.php?d=AQC-KEHOR-m8DBgs&w=130&h=130&url=http%3A%2F%2Fkapitalis.com%2Ftunisie%2Fwp-content%2Fuploads%2F2017%2F08%2FTerroriste-arrete-a-Foussana.jpg&cfs=1&sx=246&sy=0&sw=380&sh=380&_nc_hash=AQAasVMsUbWzPccH	https://external.xx.fbcdn.net/safe_image.php?d=AQCYeNaJ__1Yi6Jc&url=http%3A%2F%2Fkapitalis.com%2Ftunisie%2Fwp-content%2Fuploads%2F2017%2F08%2FTerroriste-arrete-a-Foussana.jpg&_nc_hash=AQD6T8QvU9qOoYvL	http://kapitalis.com/tunisie/2017/08/30/kasserine-des-citoyens-capturent-un-terroriste/	kapitalis.com	2017-08-30T08:55:56+0000	1504083356	2017-08-30 10:55:56	47	22	58	18	98	22	19	3	17	0	47	6	4	1	0	0	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1693964097283117	https://www.facebook.com/1008279892518211/posts/1693964097283117	الوضعية فى ساحة يحي بتاريخ 30-8-2017 صباحا اكداس كبيرة من فضلات المطعم وكافتيريا فاها تكيات متاع فضاء باب المدينة التابع لصولة  هذا هو الاستهتار وتحدى السلطة والقانون بعينه  وجب الردع والضرب بيد من حديد	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21232039_10207784481210236_5730863621185211864_n.jpg?oh=bee8eba4110d3d88d740dea856480e34&oe=5A17C37C	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21232039_10207784481210236_5730863621185211864_n.jpg?oh=937d0a938a7b33dcc089798de0b96e36&oe=5A1BDB71	https://www.facebook.com/photo.php?fbid=10207784481210236&set=gm.1693964097283117&type=3	facebook.com	2017-08-30T19:37:00+0000	1504121820	2017-08-30 21:37:00	19	37	63	0	100	36	20	16	36	0	19	0	8	1	6	28	0	kef	1
photo	post_user_1008279892518211	1008279892518211_1688888251124035	https://www.facebook.com/1008279892518211/posts/1688888251124035	هاذي تعتبر محطة حافلات في تونس ..	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21191915_166715437224658_4292490808104923198_n.jpg?oh=696bb62afb44cd9ec095b40ed79ca9a5&oe=5A47306A	https://scontent.xx.fbcdn.net/v/t1.0-9/q83/s720x720/21191915_166715437224658_4292490808104923198_n.jpg?oh=52e728202cb1700025f0e41d33125363&oe=5A5EAD40	https://www.facebook.com/photo.php?fbid=166715437224658&set=gm.1688888251124035&type=3	facebook.com	2017-08-29T00:47:29+0000	1503967649	2017-08-29 02:47:29	57	33	135	0	168	32	18	14	19	0	57	0	4	46	16	11	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1685012618178265	https://www.facebook.com/1008279892518211/posts/1685012618178265	Le pont à l entrée de Tunis par le quel  des milliers de voitures passent chaque jour .  Il y a deux déformations ( rakzet ) au début du pont et à la fin  en plus dans les deux sens !  La dernière fois   un camion à l entrée de tunis  a   survolé   après son passage  sur une   Rakza  et Il a perdu son équilibre et Il est tombé juste devant nous !  Dieu merci on a évité une catastrophe de justesse !    Je suis persuadé que tous les décideurs de ce pays ont passé par ce pont et sont conscients de cette déformation dans les deux sens et qui perdurent depuis des mois  ! Malgré cela apparement il n y a aucune volonté de réparer ce problème malgré le risque qui existe pour chaque voiture qui passe par ce pont !	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21106513_10212977451164482_7290276783093293763_n.jpg?oh=7a3b7d75f371880a5d4818484df9e06d&oe=5A1220C8	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/21106513_10212977451164482_7290276783093293763_n.jpg?oh=76fc405f2f3b29b7d62d49996c16cbe9&oe=5A1D0BBC	https://www.facebook.com/photo.php?fbid=10212977451164482&set=gm.1685012618178265&type=3	facebook.com	2017-08-27T20:02:51+0000	1503864171	2017-08-27 22:02:51	107	55	144	0	199	55	41	14	55	0	106	0	1	1	9	26	0	tunis	1
video	post_user_1008279892518211	1008279892518211_1691167910896069	https://www.facebook.com/1008279892518211/posts/1691167910896069	صرخة فزع من متساكني بن عروس تحديدا نهج بنزرت. ثاني أكبر نهج commercial   في المدينة.  هل من مجيب؟ هرمنا من هذا المنزل المهجور اللذي أصبح وكرا للفساد و الفاسدين من مدمني الكحول و المخدرات و الشذوذ.   اوساخ متراكمة، زبالة، مرتع الجرذان ، مياه الصرف الصحي تغمر المكان ، اتصلت بالسلط كذلك باصحاب المنزل عدة مرات بدون جدوى.  كل مرة يطلبون مني الاتصال بالشرطة.  حوالي  7 سنوات و الوضع يزداد سوء. مع العلم ان المنزل المذكور لا يبعد سوى عشرات الأمتار على المدرسة الابتدائية نهج القيروان.  نخاف على اولادنا من المرور من أمام هذا الوكر المليء بالمجرمين و معاقري الخمر.  كل ليلة يبدء السباب و الكلام البذيء و العراك.  لا نفتح الشبابيك طيلة الصيف. لتبدء العربدة في الطريق العام.  إلى كل من يهمه الأمر إلى البلدية و الشرطة البيئية و الولاية و المعتمدية و الشرطة. نرجو التدخل العاجل و إنهاء هذه الحالة المزرية . الامضاء: جميع الجيران و متساكني نهج بنزرت.	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/21223491_10210405054939442_4662320547521101824_n.jpg?oh=e4901f6ea06abc18466795dbea9b4b68&oe=5A157A61	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/21223491_10210405054939442_4662320547521101824_n.jpg?oh=b5e324024e813766f0be279d56ee3031&oe=5A1B6893	https://www.facebook.com/10205130225512003/videos/10210404971617359	facebook.com	2017-08-29T22:40:38+0000	1504046438	2017-08-30 00:40:38	18	21	26	0	47	21	13	8	13	0	18	0	2	0	3	3	0	benArous	1
status	post_user_1008279892518211	1008279892518211_1690240824322111	https://www.facebook.com/1008279892518211/posts/1690240824322111	توضيح لكافة الأعضاء بعد حادث المرور الذي جد أمس في رياض الاندلس، ورغم محاولاتي انا وبعض الزملاء البارحة لرفع اللبس لدى بعض الاعضاء حول الفرق بين سيارة اسعاف الحماية المدنية و سيارة الاسعاف الطبي الاستعجالي (SAMU) لكن مع هذا مازال بعض الاعضاء منذ قليل يتهجمو على الSAMU ويقولوا اللي هي جات بعد ساعة! لذلك وجب علي التوضيح: -الحماية المدنية (198) تابعة وزارة الداخلية، لونها أحمر، تتدخل في الحرائق والكوارث و حوادث السير الغير خطيرة، ليس بها تجهيزات انعاش، طاقمها لا يضم لا طبيبب ولا مبنج (مسعفين فقط) -الاسعاف الطبي الاستعجاليSAMU اوSMUR (service mobile d urgence et de réanimation) رقم النداء 190، سيارة بيضاء اللون،تابعة وزارة الصحة، تتدخل في الحالات اللتي تستوجب الانعاش (بما فيهم الحوادث الخطيرة) وهي سيارة مجهزة بكافة الاجهزة والادوية للانعاش، طاقمها يحتوي على طبيب مسعف، مبنج، وسائق متمرس					2017-08-29T14:17:54+0000	1504016274	2017-08-29 16:17:54	183	86	189	18	293	86	30	56	138	0	182	6	0	0	0	0	0	kef	1
status	post_user_1008279892518211	1008279892518211_1688566134489580	https://www.facebook.com/1008279892518211/posts/1688566134489580	فلا عاش في تونس من وسخها					2017-08-28T22:32:20+0000	1503959540	2017-08-29 00:32:20	62	15	68	9	92	14	10	4	6	0	61	3	0	3	0	0	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1687302731282587	https://www.facebook.com/1008279892518211/posts/1687302731282587	David Pawlo shared ‎Delta tunisie دلتا تونس‎ s post to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21105488_1688813741170050_5734298946172315351_n.jpg?oh=94710a74fac28c556fcfb9b39874a067&oe=5A475B7E	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21105488_1688813741170050_5734298946172315351_n.jpg?oh=64e7d6879d1f5021b4372960f1395ac9&oe=5A121C6B	https://www.facebook.com/630521226999312/photos/a.1104390809612349.1073741887.630521226999312/1688813741170050/?type=3	facebook.com	2017-08-28T14:11:36+0000	1503929496	2017-08-28 16:11:36	14	7	14	3	24	7	6	1	7	0	13	0	0	0	0	0	0	tunis	1
status	post_user_1008279892518211	1008279892518211_1688238057855721	https://www.facebook.com/1008279892518211/posts/1688238057855721	بونسوار  كنت  منذ قليل في مدينة الجم  شدو انتباهي 3 حاجات :  1- قبل الجم بحوالي 10 كلم مدينة التلالسة ..7 كلم تقريبا من الكياس كسروه و يعاودوا فيه رغم اللي الكياس نعرفو مليح لاباس عليه و موش في حاجة للاصلاح يعني مئات الملايين ماشية حرام في صفقات مشبوهة و في حين ان  داخل مدينة الجم  - اللي هي تعتبر مدينة سياحية - الكياسات كلها مكسرة عندها سنين و ما صلحوهاش  2 - كنت نتصور ان مدينتي قصور الساف و المكنين هوما اكثر المدن التونسية الساحلية فوضى و استغلال همجي للتروتوارات و ما تلقى تقريبا حتى ميترو تروتوار فاضي للمترجل ياخي اكتشفت اللي مدينة الجم اتعس  3 - في كل الدول النامية في العالم نشهد تمدن الارياف الا في تونس نشاهد   تريف المدن   وليت في قلب المدينة التونسية تشعر كانك في الريف  هذا الكل بسبب فساد المنظومة السياسية و الاقتصادية و تعاقب الحكومات المافيوزية الفاسدة على حكم و تسيير بلاد كانت من المفروض ان تكون سوسرا شمال افريقيا فجعلوها  تقترب من ان تكون مثل بنغلاديش او  الصومال					2017-08-28T19:52:30+0000	1503949950	2017-08-28 21:52:30	38	11	47	10	68	11	7	4	21	0	37	1	0	0	3	5	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1687120407967486	https://www.facebook.com/1008279892518211/posts/1687120407967486	#ariana  cite la ghazela .residence el omran . Les terrains vagues sont devenus un joli coin pour filmer des secnes de guerre ! La faillite d   un etat . Abscence totale  de la municipalite pour mettre de l ordre	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21105912_10213486334567831_8463610481519037690_n.jpg?oh=66dbb784d7cbbe4a08f18b7873a73b62&oe=5A154833	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/21105912_10213486334567831_8463610481519037690_n.jpg?oh=e374d067670f740cb3c621cb548f7a7d&oe=5A15CA47	https://www.facebook.com/photo.php?fbid=10213486334567831&set=gm.1687120407967486&type=3	facebook.com	2017-08-28T13:20:59+0000	1503926459	2017-08-28 15:20:59	5	4	7	2	13	4	1	3	3	0	5	0	0	0	0	2	0	ariana	1
photo	post_user_1008279892518211	1008279892518211_1686420221370838	https://www.facebook.com/1008279892518211/posts/1686420221370838	صباح الخير الناس الكل وبداية أسبوع موفقة للجميع ان شاء الله :) :) :) من ساحة الميناء بسوسة 😎	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21077600_10207769470154969_6848493974174933427_n.jpg?oh=c4f45fa8e996a09334d3b5dcd5fb678d&oe=5A4B9407	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21077600_10207769470154969_6848493974174933427_n.jpg?oh=856ab5255d28be370439213b5832ff84&oe=5A56230A	https://www.facebook.com/photo.php?fbid=10207769470154969&set=gm.1686420221370838&type=3	facebook.com	2017-08-28T06:25:46+0000	1503901546	2017-08-28 08:25:46	22	5	29	0	34	5	3	2	1	0	22	7	0	0	0	0	0	sousse	1
photo	post_user_1008279892518211	1008279892518211_1686961201316740	https://www.facebook.com/1008279892518211/posts/1686961201316740	عودة الانتصاب الفوضوي لبيع السيارات أمام مستشفى سهلول. يذكر أن هذا السوق الوحشي رفع إثر زيارة والي سوسة لمستشفى سهلول	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21106447_10155935231772573_2995158961892409965_n.jpg?oh=dd9d48df7ac7bcb898632eb775e34d35&oe=5A510590	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/21106447_10155935231772573_2995158961892409965_n.jpg?oh=adb0870fbfed63b893ae9482096d2b4e&oe=5A5C70E4	https://www.facebook.com/photo.php?fbid=10155935231772573&set=gm.1686961201316740&type=3	facebook.com	2017-08-28T12:22:28+0000	1503922948	2017-08-28 14:22:28	4	1	7	0	8	1	1	0	1	0	4	0	2	0	1	0	0	sousse	1
photo	post_user_1008279892518211	1008279892518211_1686764138003113	https://www.facebook.com/1008279892518211/posts/1686764138003113	marchandises de contrebande savamment cachées mais les douaniers tunisiens sont là	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21151466_1628396557199929_4989880547676453369_n.jpg?oh=da7c50048aa817101f5f81864c387ab5&oe=5A1245B4	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21151466_1628396557199929_4989880547676453369_n.jpg?oh=34288271bb6b41cce7ab65502012d752&oe=5A5404A1	https://www.facebook.com/diweniharas/photos/a.1014842928555298.1073741828.1014823695223888/1628396557199929/?type=3	facebook.com	2017-08-28T10:46:48+0000	1503917208	2017-08-28 12:46:48	5	0	7	1	8	0	0	0	0	0	5	0	0	2	0	0	0	tunis	1
link	post_user_1008279892518211	1008279892518211_1683732684972925	https://www.facebook.com/1008279892518211/posts/1683732684972925	http://www.webdo.tn/2017/07/28/sos-nabeul-application-signaler-violations-environnementales/	https://external.xx.fbcdn.net/safe_image.php?d=AQC1puKPjhYUwVLE&w=130&h=130&url=http%3A%2F%2Fwww.webdo.tn%2Fwp-content%2Fuploads%2F2017%2F07%2FSOS-Nabeul.jpg&cfs=1&_nc_hash=AQBtrPvPTcOjfBZp	https://external.xx.fbcdn.net/safe_image.php?d=AQB7lspz-15D2d9U&url=http%3A%2F%2Fwww.webdo.tn%2Fwp-content%2Fuploads%2F2017%2F07%2FSOS-Nabeul.jpg&_nc_hash=AQDfet5s3XH6oq-d	http://www.webdo.tn/2017/07/28/sos-nabeul-application-signaler-violations-environnementales/	webdo.tn	2017-08-27T10:46:22+0000	1503830782	2017-08-27 12:46:22	6	2	8	2	12	2	2	0	0	0	6	2	0	0	0	0	0	nabeul	1
status	post_user_1008279892518211	1008279892518211_1681583425187851	https://www.facebook.com/1008279892518211/posts/1681583425187851	تبّا للثورة للزمن غرقنا في الهم و في المحن و اختلط الحابل بالنابل وانفطر القلب من الشجن  تبا لمواطن لا يخجل مما قد فعل ولم يفعل ضاع في السر وفي العلن ابحر في الظلمة لم يملل  تبا للثورة والزمن دخلنا ساحة الفوضى  تلاسنًا تشابكنا ركبنا موجة الفتن  تبا للساسة قد فشلوا لن ينجح مرء من عدم ساءت اجوالك يا بلدي و تلخبط العاجل بالآجل					2017-08-26T19:03:58+0000	1503774238	2017-08-26 21:03:58	7	2	7	0	9	2	2	0	3	0	7	0	0	0	0	0	0	nabeul	1
photo	post_user_1008279892518211	1008279892518211_1684720121540848	https://www.facebook.com/1008279892518211/posts/1684720121540848	Kchouk Aida shared ‎الشعب التونسي يكره الغنوشي‎ s post to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21077418_998112253661701_4738196124263088339_n.jpg?oh=6e2abfa3d8d4e8581e4ef6be86b8ea29&oe=5A5AEBE5	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21077418_998112253661701_4738196124263088339_n.jpg?oh=70d7be7f6393e6e503f7666c79ae85a0&oe=5A1C181A	https://www.facebook.com/AthadAlymynWAlysarMnAjlTwns/photos/a.354214798051453.1073741860.161176960688572/998112253661701/?type=3	facebook.com	2017-08-27T17:27:26+0000	1503854846	2017-08-27 19:27:26	4	0	4	4	8	0	0	0	0	0	4	0	0	0	0	0	0	tunis	1
video	post_user_1008279892518211	1008279892518211_1676164895729704	https://www.facebook.com/1008279892518211/posts/1676164895729704	بالله وين الشنقال، وين البلدية؟؟؟؟ وين التريتوار قدام نزل رياض النخيل سوسة؟ ؟؟ شوف الحاله،  لا bébé   لا معاق انجم يمشي في امان.....	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/21090012_10213630427386003_2839465869375963136_n.jpg?oh=6da5d2bbd58075b9919bfa6078d81941&oe=5A5DD9CE	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/21090012_10213630427386003_2839465869375963136_n.jpg?oh=223d7b6333f01b1c2850198384c33357&oe=5A49B83C	https://www.facebook.com/10207018976063852/videos/10213630417385753	facebook.com	2017-08-24T22:22:09+0000	1503613329	2017-08-25 00:22:09	39	37	96	0	133	37	24	13	33	0	39	0	3	0	7	47	0	sousse	1
status	post_user_1008279892518211	1008279892518211_1684416134904580	https://www.facebook.com/1008279892518211/posts/1684416134904580	لو إلتفت إلى   فوضى التجار في شارع فلسطين سهلول 2 يوم الجمعة و السبت و القلق الذي يتسببون فيه للمواطن، رغم أن السوق توجد بحمام سوسة و ليس بسوسة اسعفنا يا سيادة الوالي					2017-08-27T15:20:35+0000	1503847235	2017-08-27 17:20:35	2	0	3	1	4	0	0	0	0	0	2	0	0	0	1	0	0	sousse	1
photo	post_user_1008279892518211	1008279892518211_1683867941626066	https://www.facebook.com/1008279892518211/posts/1683867941626066	حي الوفاء بنابل: استغلال مريب ومتهور للطريق المنجز حديثا أثناء. أشغال البناء .	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21077758_2058022987754662_2160459353722485295_n.jpg?oh=3cc55966d98a3c4204ba8990207368cf&oe=5A545D02	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21077758_2058022987754662_2160459353722485295_n.jpg?oh=b9fd4dbff32b5b5e2b64ececd31a3beb&oe=5A5D0D17	https://www.facebook.com/photo.php?fbid=2058022987754662&set=gm.1683867941626066&type=3	facebook.com	2017-08-27T11:47:04+0000	1503834424	2017-08-27 13:47:04	2	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	nabeul	1
photo	post_user_1008279892518211	1008279892518211_1674984565847737	https://www.facebook.com/1008279892518211/posts/1674984565847737	في كوكب صفاقس الشقيقة	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20953811_1411796615524371_2597841878681173878_n.jpg?oh=1ae3690dd89c3877328d6ef0448f469e&oe=5A588587	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20953811_1411796615524371_2597841878681173878_n.jpg?oh=61827293b17c009803b9fbc800098e04&oe=5A14D992	https://www.facebook.com/photo.php?fbid=1411796615524371&set=gm.1674984565847737&type=3	facebook.com	2017-08-24T13:43:42+0000	1503582222	2017-08-24 15:43:42	76	94	100	0	194	92	48	44	68	0	75	4	1	17	0	0	0	sfax	1
photo	post_user_1008279892518211	1008279892518211_1683666644979529	https://www.facebook.com/1008279892518211/posts/1683666644979529	سوسة نهج 18جانفي...أين الشرطة البيئية؟!!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/10312608_10209513466502491_2569876417510762307_n.jpg?oh=2516237c955a9122fdfe4f28e683ab3f&oe=5A5B0964	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/10312608_10209513466502491_2569876417510762307_n.jpg?oh=4d71a12dcf795b42e1dab567f9b52544&oe=5A583269	https://www.facebook.com/photo.php?fbid=10209513466502491&set=gm.1683666644979529&type=3	facebook.com	2017-08-27T10:14:24+0000	1503828864	2017-08-27 12:14:24	3	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	sousse	1
status	post_user_1008279892518211	1008279892518211_1680754871937373	https://www.facebook.com/1008279892518211/posts/1680754871937373	فقط في تونس: كيف تشق سكة المترو 🚈 يلزمك ترد بالك من الكراهب🚗 !!!					2017-08-26T12:58:25+0000	1503752305	2017-08-26 14:58:25	31	2	53	14	69	2	2	0	1	0	31	0	2	18	1	1	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1683352008344326	https://www.facebook.com/1008279892518211/posts/1683352008344326	سكة الميترو 1  بن عروس	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21077626_2171431046416941_2059352430302648_n.jpg?oh=e0186131216cee0c10bfa1c2936128f5&oe=5A4F80E4	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21077626_2171431046416941_2059352430302648_n.jpg?oh=3b48cf7f8e958b86aabbced092527946&oe=5A140801	https://www.facebook.com/photo.php?fbid=2171431046416941&set=gm.1683352008344326&type=3	facebook.com	2017-08-27T08:01:40+0000	1503820900	2017-08-27 10:01:40	3	2	4	0	6	2	2	0	1	0	3	0	0	1	0	0	0	benArous	1
status	post_user_1008279892518211	1008279892518211_1668894513123409	https://www.facebook.com/1008279892518211/posts/1668894513123409	Je partage avec vous une très mauvaise expérience que j ai vécu aujourd hui aux berges du lac. C est un peu long mais je tiens à vous raconter ce qui m est arrivé pour que les gens fassent très attention :  Voilà : je roulais tranquillement avec ma voiture aux berges du lac 1 ( juste a coté de Materna ) quand j ai vu une femme âgée mlaw7a fel kayess.. tefja3t wkeft w mchitelha ena w rajel ekher 9ayamneha nal9awha tebki w 9altena eli heya tebki khater ma3andhech ha9 el kré bech tkhalsou weli el mallek bech ytaradha heya w wledha..9oltelha 9adech el kré hajja ? 9atli 140  dinars .. rja3t lel karahba madithomlha w 9oltelha 9oli wine theb nwaslek hajja ? 9atli khali 3lik mrawha el monastir.  Khalitha w 9adamt chwaya nestana fi khouya 3al kayess  ( khalitha ka3da 3al medda ) . Nchouf fi karahba wekfetelha w tofla kifi habtet mafjou3a meskina wel mra meli kenet lebes aleha ( w 3andha ha9 el kré ) walet tebki bel chah9a .. hbatet mel karahba wena wselt wraha nasma3 feha tahki lel tofla feli kenet tahkili fih bdite waktha nhes feha tmaniket 3leya .. J ai intervenu w 9oltelha hajja mech 3andek tawa ha9 el kré ? Dakhlet b3athha w 9atli ey juste 9oltelha nheb 3la ha9 taxi bech nrawah !!! Kahaw ! Ghzarna ena wel tofla leb3athna mba3ed ena mchite el karhabti bel ghazoul khater je me fais avoir pour la nième fois. Jee khouya hkitlou kali rani wena jey fama mra kbira lemma 3bed bahdha station el car w tebki kali tawa nkalmou el hakem. . Et effectivement il a a appelé el 197. Au bout de quelques minutes ils étaient là.. je leur ai montré la dame de loin et ils m ont dit qu ils la connaissaient très bien et qu elle a fait la même chose à des endroits différents aux berges du lac. Bref  ils sont allés la voir 9alouli sakha m3ebi flous ! !!!  Ils l ont laissé partir donc faites très attention w Nchallah eli sar maaya elyoum ma y3awed ysir M3a had. ( malheureusement je n ai pas pris de photos de la dame ). Ps : je ne sais pas si c est important mais la dame a dit aux flics quand ils lui ont demandé ce qu elle faisait là que elle passait voir Jaafer Guesmi pour qu il lui donne le montant du loyer comme chaque mois !					2017-08-21T19:09:51+0000	1503342591	2017-08-21 21:09:51	139	304	264	113	681	304	146	158	473	0	139	2	38	5	6	70	0	kef	1
photo	post_user_1008279892518211	1008279892518211_1676973975648796	https://www.facebook.com/1008279892518211/posts/1676973975648796	لحظات من التفائل وسط هذا الكم الهائل من الخيوبية 😎 من وسط مدينة سوسة	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21077818_10207752412808546_3735076136146128355_n.jpg?oh=30bb4e6c3848a95160a38e0bbee456fa&oe=5A190C5F	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21077818_10207752412808546_3735076136146128355_n.jpg?oh=53f4c4e4317a59dd6acc9ae2b0ce764f&oe=5A1B1452	https://www.facebook.com/photo.php?fbid=10207752412808546&set=gm.1676973975648796&type=3	facebook.com	2017-08-25T06:18:39+0000	1503641919	2017-08-25 08:18:39	20	0	24	0	24	0	0	0	0	0	19	4	0	0	0	0	0	sousse	1
video	post_user_1008279892518211	1008279892518211_1674651185881075	https://www.facebook.com/1008279892518211/posts/1674651185881075	Ben Sassi shared ‎حملة ضد الرشوة و السرقة في الديوانة التونسية‎ s video to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/21096207_1968645556687339_3884463272560164864_n.jpg?oh=70a3fbd7249d30a1884ba6b36ace574a&oe=5A51468E	https://scontent.xx.fbcdn.net/v/t15.0-10/21096207_1968645556687339_3884463272560164864_n.jpg?oh=ff8efe796ab6e6f3712bb8db0cda5217&oe=5A5A46F5	https://www.facebook.com/DouaneTunisienn/videos/1968644526687442/	facebook.com	2017-08-24T11:16:08+0000	1503573368	2017-08-24 13:16:08	17	15	18	11	44	15	5	10	5	0	17	0	0	0	1	0	0	tunis	1
video	post_user_1008279892518211	1008279892518211_1672607546085439	https://www.facebook.com/1008279892518211/posts/1672607546085439	Sam7ouni 3al partage hedha ☺ ema 3lech na7na tounes bled lib7ar sye7a 3lech ma3malnech 7aja kima haka winouhom rijel a3mel !	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/21056330_1074605792674538_7142488045827129344_n.jpg?oh=70958fa5a590fb2ae211f169de286302&oe=5A1C1164	https://scontent.xx.fbcdn.net/v/t15.0-10/21056330_1074605792674538_7142488045827129344_n.jpg?oh=c795eadd32df96a5fe1d892894d43d23&oe=5A1789CF	https://www.facebook.com/Na3ch9ek.Officiel/videos/1074605026007948/	facebook.com	2017-08-23T17:44:57+0000	1503510297	2017-08-23 19:44:57	56	24	73	27	124	24	18	6	18	0	56	13	2	1	1	0	0	tunis	1
status	post_user_1008279892518211	1008279892518211_1674819042530956	https://www.facebook.com/1008279892518211/posts/1674819042530956	بنية صغيرة تونسية لازم ترجع لأمها عايشة في العذاب و قالت باش تنتحر كان ما ترجعش					2017-08-24T12:28:53+0000	1503577733	2017-08-24 14:28:53	8	8	11	0	19	8	1	7	9	0	8	0	0	0	3	0	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1675335602479300	https://www.facebook.com/1008279892518211/posts/1675335602479300	Dans ce beau film omar cherif a dit au petit ( lecons de vie ) :  . Des ordures sans poubelles = pays sale et pauvre ( le cas de la tunisie ) .Des poubelles sans ordures ( pays riches )  Mais on peut etre un pays pauvre et propre .le cas du Rwanda .c est toujours l etat fort qui cree un peuple dicipline :)	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21032481_10213455054185841_9011440898794851974_n.jpg?oh=f9ebf5fd56d64f574aa8f547edb01d4a&oe=5A4A2877	https://scontent.xx.fbcdn.net/v/t1.0-9/21032481_10213455054185841_9011440898794851974_n.jpg?oh=46b177f2ef34555a06813c19c3b633f9&oe=5A1E2A91	https://www.facebook.com/photo.php?fbid=10213455054185841&set=gm.1675335602479300&type=3	facebook.com	2017-08-24T16:12:05+0000	1503591125	2017-08-24 18:12:05	5	1	6	0	7	1	1	0	1	0	5	1	0	0	0	0	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1671067536239440	https://www.facebook.com/1008279892518211/posts/1671067536239440	بعض الموجات الايجابية الصباحية من بوجعفر سوسة 😎	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20953170_10207741625018858_8804055005536390071_n.jpg?oh=46ec3cdab64250b477372093b2be058e&oe=5A545A13	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20953170_10207741625018858_8804055005536390071_n.jpg?oh=6ea911f1ad2b30833d64749f6c577381&oe=5A480F1E	https://www.facebook.com/photo.php?fbid=10207741625018858&set=gm.1671067536239440&type=3	facebook.com	2017-08-23T06:39:03+0000	1503470343	2017-08-23 08:39:03	38	2	44	0	46	2	2	0	0	0	38	6	0	0	0	0	0	sousse	1
